face_id,node_ids,adjacent_element_id,adjacent_soil_id,adjacent_material_id,boundary_type
2832,6386 6786 6787 6387,5603,8,mat_soil_008,y_max
2833,6387 6787 6788 6388,5604,8,mat_soil_008,y_max
2834,6388 6788 6789 6389,5605,8,mat_soil_008,y_max
2835,6389 6789 6790 6390,5606,8,mat_soil_008,y_max
2836,6390 6790 6791 6391,5607,8,mat_soil_008,y_max
2837,6391 6791 6792 6392,5608,8,mat_soil_008,y_max
2838,6392 6792 6793 6393,5609,8,mat_soil_008,y_max
2839,6393 6793 6794 6394,5610,8,mat_soil_008,y_max
2840,6394 6794 6795 6395,5611,8,mat_soil_008,y_max
2841,6395 6795 6796 6396,5612,8,mat_soil_008,y_max
2842,6396 6796 6797 6397,5613,8,mat_soil_008,y_max
2843,6397 6797 6798 6398,5614,8,mat_soil_008,y_max
2844,6398 6798 6799 6399,5615,8,mat_soil_008,y_max
2845,6359 6399 6799 6759,5615,8,mat_soil_008,x_max
2846,6400 6401 6801 6800,5616,8,mat_soil_008,y_min
2847,6400 6800 6840 6440,5616,8,mat_soil_008,x_min
2848,6401 6402 6802 6801,5617,8,mat_soil_008,y_min
2849,6402 6403 6803 6802,5618,8,mat_soil_008,y_min
2850,6403 6404 6804 6803,5619,8,mat_soil_008,y_min
2851,6404 6405 6805 6804,5620,8,mat_soil_008,y_min
2852,6405 6406 6806 6805,5621,8,mat_soil_008,y_min
2853,6406 6407 6807 6806,5622,8,mat_soil_008,y_min
2854,6407 6408 6808 6807,5623,8,mat_soil_008,y_min
2855,6408 6409 6809 6808,5624,8,mat_soil_008,y_min
2856,6409 6410 6810 6809,5625,8,mat_soil_008,y_min
2857,6410 6411 6811 6810,5626,8,mat_soil_008,y_min
2858,6411 6412 6812 6811,5627,8,mat_soil_008,y_min
2859,6412 6413 6813 6812,5628,8,mat_soil_008,y_min
2860,6413 6414 6814 6813,5629,8,mat_soil_008,y_min
2861,6414 6415 6815 6814,5630,8,mat_soil_008,y_min
2862,6415 6416 6816 6815,5631,8,mat_soil_008,y_min
2863,6416 6417 6817 6816,5632,8,mat_soil_008,y_min
2864,6417 6418 6818 6817,5633,8,mat_soil_008,y_min
2865,6418 6419 6819 6818,5634,8,mat_soil_008,y_min
2866,6419 6420 6820 6819,5635,8,mat_soil_008,y_min
2867,6420 6421 6821 6820,5636,8,mat_soil_008,y_min
2868,6421 6422 6822 6821,5637,8,mat_soil_008,y_min
2869,6422 6423 6823 6822,5638,8,mat_soil_008,y_min
2870,6423 6424 6824 6823,5639,8,mat_soil_008,y_min
2871,6424 6425 6825 6824,5640,8,mat_soil_008,y_min
2872,6425 6426 6826 6825,5641,8,mat_soil_008,y_min
2873,6426 6427 6827 6826,5642,8,mat_soil_008,y_min
2874,6427 6428 6828 6827,5643,8,mat_soil_008,y_min
2875,6428 6429 6829 6828,5644,8,mat_soil_008,y_min
2876,6429 6430 6830 6829,5645,8,mat_soil_008,y_min
2877,6430 6431 6831 6830,5646,8,mat_soil_008,y_min
2878,6431 6432 6832 6831,5647,8,mat_soil_008,y_min
2879,6432 6433 6833 6832,5648,8,mat_soil_008,y_min
2880,6433 6434 6834 6833,5649,8,mat_soil_008,y_min
2881,6434 6435 6835 6834,5650,8,mat_soil_008,y_min
2882,6435 6436 6836 6835,5651,8,mat_soil_008,y_min
2883,6436 6437 6837 6836,5652,8,mat_soil_008,y_min
2884,6437 6438 6838 6837,5653,8,mat_soil_008,y_min
2885,6438 6439 6839 6838,5654,8,mat_soil_008,y_min
2886,6439 6479 6879 6839,5654,8,mat_soil_008,x_max
2887,6440 6840 6880 6480,5655,8,mat_soil_008,x_min
2889,6479 6519 6919 6879,5693,8,mat_soil_008,x_max
2890,6480 6880 6920 6520,5694,8,mat_soil_008,x_min
2893,6519 6559 6959 6919,5732,8,mat_soil_008,x_max
2894,6520 6920 6960 6560,5733,8,mat_soil_008,x_min
2895,6559 6599 6999 6959,5771,8,mat_soil_008,x_max
2896,6560 6960 7000 6600,5772,8,mat_soil_008,x_min
2897,6599 6639 7039 6999,5810,8,mat_soil_008,x_max
2898,6600 7000 7040 6640,5811,8,mat_soil_008,x_min
2899,6639 6679 7079 7039,5849,8,mat_soil_008,x_max
2900,6640 7040 7080 6680,5850,8,mat_soil_008,x_min
2901,6679 6719 7119 7079,5888,8,mat_soil_008,x_max
2902,6680 7080 7120 6720,5889,8,mat_soil_008,x_min
2903,6719 6759 7159 7119,5927,8,mat_soil_008,x_max
2904,6760 7160 7161 6761,5928,8,mat_soil_008,y_max
2905,6720 7120 7160 6760,5928,8,mat_soil_008,x_min
2906,6761 7161 7162 6762,5929,8,mat_soil_008,y_max
2907,6762 7162 7163 6763,5930,8,mat_soil_008,y_max
2908,6763 7163 7164 6764,5931,8,mat_soil_008,y_max
2909,6764 7164 7165 6765,5932,8,mat_soil_008,y_max
2910,6765 7165 7166 6766,5933,8,mat_soil_008,y_max
2911,6766 7166 7167 6767,5934,8,mat_soil_008,y_max
2912,6767 7167 7168 6768,5935,8,mat_soil_008,y_max
2913,6768 7168 7169 6769,5936,8,mat_soil_008,y_max
2914,6769 7169 7170 6770,5937,8,mat_soil_008,y_max
2915,6770 7170 7171 6771,5938,8,mat_soil_008,y_max
2916,6771 7171 7172 6772,5939,8,mat_soil_008,y_max
2917,6772 7172 7173 6773,5940,8,mat_soil_008,y_max
2918,6773 7173 7174 6774,5941,8,mat_soil_008,y_max
2919,6774 7174 7175 6775,5942,8,mat_soil_008,y_max
2920,6775 7175 7176 6776,5943,8,mat_soil_008,y_max
2921,6776 7176 7177 6777,5944,8,mat_soil_008,y_max
2922,6777 7177 7178 6778,5945,8,mat_soil_008,y_max
2923,6778 7178 7179 6779,5946,8,mat_soil_008,y_max
2924,6779 7179 7180 6780,5947,8,mat_soil_008,y_max
2925,6780 7180 7181 6781,5948,8,mat_soil_008,y_max
2926,6781 7181 7182 6782,5949,8,mat_soil_008,y_max
2927,6782 7182 7183 6783,5950,8,mat_soil_008,y_max
2928,6783 7183 7184 6784,5951,8,mat_soil_008,y_max
2929,6784 7184 7185 6785,5952,8,mat_soil_008,y_max
2930,6785 7185 7186 6786,5953,8,mat_soil_008,y_max
2931,6786 7186 7187 6787,5954,8,mat_soil_008,y_max
2932,6787 7187 7188 6788,5955,8,mat_soil_008,y_max
2933,6788 7188 7189 6789,5956,8,mat_soil_008,y_max
2934,6789 7189 7190 6790,5957,8,mat_soil_008,y_max
2935,6790 7190 7191 6791,5958,8,mat_soil_008,y_max
2936,6791 7191 7192 6792,5959,8,mat_soil_008,y_max
2937,6792 7192 7193 6793,5960,8,mat_soil_008,y_max
2938,6793 7193 7194 6794,5961,8,mat_soil_008,y_max
2939,6794 7194 7195 6795,5962,8,mat_soil_008,y_max
2940,6795 7195 7196 6796,5963,8,mat_soil_008,y_max
2941,6796 7196 7197 6797,5964,8,mat_soil_008,y_max
2942,6797 7197 7198 6798,5965,8,mat_soil_008,y_max
2943,6798 7198 7199 6799,5966,8,mat_soil_008,y_max
2944,6759 6799 7199 7159,5966,8,mat_soil_008,x_max
2946,6800 6801 7201 7200,5967,8,mat_soil_008,y_min
2947,6800 7200 7240 6840,5967,8,mat_soil_008,x_min
2949,6801 6802 7202 7201,5968,8,mat_soil_008,y_min
2951,6802 6803 7203 7202,5969,8,mat_soil_008,y_min
2953,6803 6804 7204 7203,5970,8,mat_soil_008,y_min
2955,6804 6805 7205 7204,5971,8,mat_soil_008,y_min
2958,6805 6806 7206 7205,5972,8,mat_soil_008,y_min
2960,6806 6807 7207 7206,5973,8,mat_soil_008,y_min
2962,6807 6808 7208 7207,5974,8,mat_soil_008,y_min
2964,6808 6809 7209 7208,5975,8,mat_soil_008,y_min
2966,6809 6810 7210 7209,5976,8,mat_soil_008,y_min
2967,6810 6811 7211 7210,5977,8,mat_soil_008,y_min
2968,6811 6812 7212 7211,5978,8,mat_soil_008,y_min
2969,6812 6813 7213 7212,5979,8,mat_soil_008,y_min
2970,6813 6814 7214 7213,5980,8,mat_soil_008,y_min
