face_id,node_ids,left_element_id,right_element_id,left_soil_id,right_soil_id,left_material_id,right_material_id
3342,7290 7330 7730 7690,6405,6406,6,8,mat_soil_006,mat_soil_008
3343,7690 7691 7731 7730,6406,6757,8,6,mat_soil_008,mat_soil_006
3344,7691 7692 7732 7731,6407,6758,8,6,mat_soil_008,mat_soil_006
3345,7692 7693 7733 7732,6408,6759,8,6,mat_soil_008,mat_soil_006
3346,7693 7694 7734 7733,6409,6760,8,6,mat_soil_008,mat_soil_006
3347,7333 7733 7734 7334,6409,6448,8,6,mat_soil_008,mat_soil_006
3348,7294 7334 7734 7694,6409,6410,8,6,mat_soil_008,mat_soil_006
3349,7298 7338 7738 7698,6413,6414,6,8,mat_soil_006,mat_soil_008
3350,7698 7699 7739 7738,6414,6765,8,6,mat_soil_008,mat_soil_006
3351,7699 7700 7740 7739,6415,6766,8,6,mat_soil_008,mat_soil_006
3352,7703 7704 7744 7743,6419,6770,8,6,mat_soil_008,mat_soil_006
3353,7704 7705 7745 7744,6420,6771,8,6,mat_soil_008,mat_soil_006
3354,7705 7706 7746 7745,6421,6772,8,6,mat_soil_008,mat_soil_006
3355,7306 7346 7746 7706,6421,6422,8,6,mat_soil_008,mat_soil_006
3356,7316 7356 7756 7716,6431,6432,6,8,mat_soil_006,mat_soil_008
3357,7716 7717 7757 7756,6432,6783,8,6,mat_soil_008,mat_soil_006
3358,7717 7718 7758 7757,6433,6784,8,6,mat_soil_008,mat_soil_006
3359,7718 7719 7759 7758,6434,6785,8,6,mat_soil_008,mat_soil_006
3362,7364 7764 7765 7365,6439,6478,6,8,mat_soil_006,mat_soil_008
3363,7365 7765 7766 7366,6440,6479,6,8,mat_soil_006,mat_soil_008
3364,7366 7766 7767 7367,6441,6480,6,8,mat_soil_006,mat_soil_008
3365,7327 7367 7767 7727,6441,6442,6,8,mat_soil_006,mat_soil_008
3366,7727 7728 7768 7767,6442,6793,8,6,mat_soil_008,mat_soil_006
3367,7728 7729 7769 7768,6443,6794,8,6,mat_soil_008,mat_soil_006
3368,7729 7730 7770 7769,6444,6795,8,6,mat_soil_008,mat_soil_006
3369,7730 7731 7771 7770,6445,6796,8,6,mat_soil_008,mat_soil_006
3370,7731 7732 7772 7771,6446,6797,8,6,mat_soil_008,mat_soil_006
3371,7732 7733 7773 7772,6447,6798,8,6,mat_soil_008,mat_soil_006
3372,7372 7772 7773 7373,6447,6486,8,6,mat_soil_008,mat_soil_006
3373,7333 7373 7773 7733,6447,6448,8,6,mat_soil_008,mat_soil_006
3374,7338 7378 7778 7738,6452,6453,6,8,mat_soil_006,mat_soil_008
3375,7738 7739 7779 7778,6453,6804,8,6,mat_soil_008,mat_soil_006
3376,7378 7778 7779 7379,6453,6492,8,6,mat_soil_008,mat_soil_006
3377,7739 7740 7780 7779,6454,6805,8,6,mat_soil_008,mat_soil_006
3378,7740 7741 7781 7780,6455,6806,8,6,mat_soil_008,mat_soil_006
3379,7742 7743 7783 7782,6457,6808,8,6,mat_soil_008,mat_soil_006
3380,7743 7744 7784 7783,6458,6809,8,6,mat_soil_008,mat_soil_006
3381,7744 7745 7785 7784,6459,6810,8,6,mat_soil_008,mat_soil_006
3382,7745 7746 7786 7785,6460,6811,8,6,mat_soil_008,mat_soil_006
3383,7346 7386 7786 7746,6460,6461,8,6,mat_soil_008,mat_soil_006
3384,7386 7786 7787 7387,6461,6500,6,8,mat_soil_006,mat_soil_008
3385,7356 7396 7796 7756,6470,6471,6,8,mat_soil_006,mat_soil_008
3386,7756 7757 7797 7796,6471,6822,8,6,mat_soil_008,mat_soil_006
3387,7396 7796 7797 7397,6471,6510,8,6,mat_soil_008,mat_soil_006
3388,7757 7758 7798 7797,6472,6823,8,6,mat_soil_008,mat_soil_006
3389,7397 7797 7798 7398,6472,6511,8,6,mat_soil_008,mat_soil_006
3390,7758 7759 7799 7798,6473,6824,8,6,mat_soil_008,mat_soil_006
3393,7403 7803 7804 7404,6477,6516,6,8,mat_soil_006,mat_soil_008
3394,7364 7404 7804 7764,6477,6478,6,8,mat_soil_006,mat_soil_008
3395,7764 7765 7805 7804,6478,6829,8,6,mat_soil_008,mat_soil_006
3396,7765 7766 7806 7805,6479,6830,8,6,mat_soil_008,mat_soil_006
3397,7766 7767 7807 7806,6480,6831,8,6,mat_soil_008,mat_soil_006
3398,7767 7768 7808 7807,6481,6832,8,6,mat_soil_008,mat_soil_006
3399,7768 7769 7809 7808,6482,6833,8,6,mat_soil_008,mat_soil_006
3400,7769 7770 7810 7809,6483,6834,8,6,mat_soil_008,mat_soil_006
3401,7770 7771 7811 7810,6484,6835,8,6,mat_soil_008,mat_soil_006
3402,7771 7772 7812 7811,6485,6836,8,6,mat_soil_008,mat_soil_006
3403,7411 7811 7812 7412,6485,6524,8,6,mat_soil_008,mat_soil_006
3404,7372 7412 7812 7772,6485,6486,8,6,mat_soil_008,mat_soil_006
3405,7379 7419 7819 7779,6492,6493,6,8,mat_soil_006,mat_soil_008
3406,7779 7780 7820 7819,6493,6844,8,6,mat_soil_008,mat_soil_006
3407,7419 7819 7820 7420,6493,6532,8,6,mat_soil_008,mat_soil_006
3408,7780 7781 7821 7820,6494,6845,8,6,mat_soil_008,mat_soil_006
3409,7420 7820 7821 7421,6494,6533,8,6,mat_soil_008,mat_soil_006
3410,7781 7782 7822 7821,6495,6846,8,6,mat_soil_008,mat_soil_006
3411,7421 7821 7822 7422,6495,6534,8,6,mat_soil_008,mat_soil_006
3412,7782 7783 7823 7822,6496,6847,8,6,mat_soil_008,mat_soil_006
3413,7783 7784 7824 7823,6497,6848,8,6,mat_soil_008,mat_soil_006
3414,7784 7785 7825 7824,6498,6849,8,6,mat_soil_008,mat_soil_006
3415,7785 7786 7826 7825,6499,6850,8,6,mat_soil_008,mat_soil_006
3416,7786 7787 7827 7826,6500,6851,8,6,mat_soil_008,mat_soil_006
3417,7387 7427 7827 7787,6500,6501,8,6,mat_soil_008,mat_soil_006
3418,7398 7438 7838 7798,6511,6512,6,8,mat_soil_006,mat_soil_008
